Subject,Condition,Trial,Segment,Duration,VerticalSize,HorizontalSize,AbsoluteSize,AverageAbsoluteVelocity,AverageNormalizedJerkPerTrial,AveragePenPressure
2,DNM,1,1,0.1313,0.8581,0.9069,1.2485,9.393,37.8505,206.259
2,DNM,1,2,0.1577,-1.397,-0.8259,1.6229,10.6936,37.8505,328.129
2,DNM,1,3,0.0749,0.2271,0.0178,0.2278,4.0847,37.8505,265.867
2,DNM,1,4,0.0557,-0.1049,-0.3941,0.4079,7.4927,37.8505,7.45455
2,DNM,1,5,0.0891,0.3971,0.9283,1.0097,11.6686,37.8505,363.667
2,DNM,1,6,0.1589,-0.3468,-0.353,0.4949,4.3115,37.8505,14.9063
2,DNM,1,7,0.1166,0.0876,0.4496,0.458,3.8978,37.8505,0
2,DNM,1,8,0.0473,-0.0058,-0.0291,0.0297,0.6514,37.8505,0
2,DNM,1,9,0.1711,0.4854,0.3798,0.6163,3.9103,37.8505,34.1765
2,DNM,1,10,0.091,-0.5272,-0.6739,0.8556,9.794,37.8505,279.278
2,DNM,1,11,0.0807,0.3606,0.6235,0.7202,9.0719,37.8505,359.063
2,DNM,1,12,0.2244,-0.3136,0.084,0.3246,2.9592,37.8505,376.222
2,DNM,1,13,0.1094,0.1131,0.2596,0.2832,2.694,37.8505,558
2,DNM,1,14,0.1224,-0.123,0.1238,0.1745,1.7065,37.8505,588.24
2,DNM,1,15,0.0662,0.1061,0.1975,0.2242,3.5682,37.8505,209.769
2,DNM,1,16,0.0613,-0.0796,-0.1739,0.1912,3.1964,37.8505,0
2,DNM,1,17,0.2033,0.3839,0.4805,0.6151,3.6685,37.8505,162.634
2,DNM,1,18,0.1112,-0.4243,-0.2643,0.4999,5.7384,37.8505,277.909
2,DNM,1,19,0.052,0.0642,0.485,0.4892,9.7751,37.8505,351
2,DNM,1,20,0.072,-0.1951,-0.2064,0.284,4.9285,37.8505,237.333
2,DNM,1,21,0.181,0.4488,0.3132,0.5473,3.7701,37.8505,361.167
2,DNM,1,22,0.1424,-0.3173,0.0563,0.3223,2.5432,37.8505,419.25
2,DNM,1,23,0.0969,0.1712,0.3141,0.3577,3.5941,37.8505,240.6
2,DNM,1,24,0.0428,-0.0075,-0.011,0.0133,0.3635,37.8505,472.75
2,DNM,1,25,0.1116,0.1703,0.1523,0.2285,2.5673,37.8505,489.609
2,DNM,1,26,0.0808,-0.2369,-0.2462,0.3417,5.6188,37.8505,493.125
2,DNM,1,27,0.0568,0.1254,0.3418,0.3641,6.6042,37.8505,488.364
2,DNM,1,28,0.0666,-0.2171,0.2667,0.3439,5.2364,37.8505,414.071
2,DNM,1,29,0.2699,0.6845,-1.3672,1.529,7.856,37.8505,101.759
2,DNM,1,30,0.1948,-0.6858,1.2572,1.4321,7.4708,37.8505,-0.461538
2,DNM,2,1,0.1469,0.2244,0.4731,0.5237,3.4975,27.291,175.5
2,DNM,2,2,0.1834,-0.073,-0.393,0.3997,2.1831,27.291,14.8108
2,DNM,2,3,0.2215,0.1478,0.0538,0.1573,0.748,27.291,0
2,DNM,2,4,0.3235,-0.8155,0.0055,0.8155,2.5189,27.291,273.738
2,DNM,2,5,0.3983,0.495,0.2725,0.5651,2.3746,27.291,102.608
2,DNM,2,6,0.1907,-0.1186,-0.3406,0.3606,1.9718,27.291,18.5526
2,DNM,2,7,0.1231,0.1391,-0.2153,0.2563,2.7343,27.291,0
2,DNM,2,8,0.2053,-0.3134,0.4927,0.5839,2.9635,27.291,0
2,DNM,2,9,0.6913,0.4723,-0.868,0.9881,4.3292,27.291,0
2,DNM,2,10,0.0733,-0.1853,0.3582,0.4033,6.4198,27.291,0
2,DNM,2,11,0.0695,0.0685,0.2267,0.2369,3.3779,27.291,0
2,DNM,2,12,0.183,-0.138,0.3656,0.3908,2.2218,27.291,0
2,DNM,2,13,0.1878,0.174,0.2787,0.3285,1.998,27.291,16.2105
2,DNM,2,14,0.108,-0.3503,-0.2668,0.4404,4.6579,27.291,304.227
2,DNM,2,15,0.085,0.3166,0.3304,0.4576,5.45,27.291,265.765
2,DNM,2,16,0.0888,-0.2457,-0.0709,0.2558,3.039,27.291,232.647
2,DNM,2,17,0.0985,0.1422,0.3444,0.3726,3.7528,27.291,210.1
2,DNM,2,18,0.0997,-0.161,-0.0547,0.17,1.8049,27.291,220.9
2,DNM,2,19,0.1088,0.2358,0.2499,0.3435,3.2546,27.291,198.5
2,DNM,2,20,0.1015,-0.1822,0.1751,0.2527,2.7688,27.291,246.55
2,DNM,2,21,0.355,0.2574,0.2701,0.3731,1.8849,27.291,67.3803
2,DNM,2,22,0.1015,-0.3625,-0.3036,0.4728,5.1589,27.291,342.2
2,DNM,2,23,0.0612,0.1322,0.4809,0.4988,7.7257,27.291,469.154
2,DNM,2,24,0.0934,-0.5542,-0.7952,0.9693,11.053,27.291,185.167
2,DNM,2,25,0.0856,0.2909,0.9878,1.0297,12.1628,27.291,381.294
2,DNM,2,26,0.0508,-0.052,-0.5824,0.5847,11.3406,27.291,1.72727
2,DNM,2,27,0.3483,0.517,0.6366,0.8201,3.4269,27.291,21.6522
